#Time 	 PotE 	 kT 	 vx 	 vy 	 vz
Time = 0.5850 	 PotE = -4148.91 	 kT = 2.1025 	 vx = -0.037147 	 vy = 0.091419 	 vz = 0.055145
Time = 0.5900 	 PotE = -4119.44 	 kT = 2.1463 	 vx = 0.050330 	 vy = 0.013961 	 vz = 0.100236
Time = 0.5950 	 PotE = -4096.34 	 kT = 2.0458 	 vx = 0.021942 	 vy = -0.006170 	 vz = 0.098892
Time = 0.6000 	 PotE = -4091.73 	 kT = 2.0276 	 vx = -0.058518 	 vy = -0.011705 	 vz = -0.003543
Time = 0.6050 	 PotE = -4098.79 	 kT = 2.0226 	 vx = -0.067180 	 vy = -0.010473 	 vz = -0.038735
Time = 0.6100 	 PotE = -4108.99 	 kT = 2.0147 	 vx = -0.030751 	 vy = 0.001763 	 vz = -0.066071
Time = 0.6150 	 PotE = -4107.89 	 kT = 1.9933 	 vx = -0.025288 	 vy = -0.062467 	 vz = -0.037535
Time = 0.6200 	 PotE = -4101.52 	 kT = 1.9753 	 vx = 0.040203 	 vy = -0.028378 	 vz = -0.052915
Time = 0.6250 	 PotE = -4106.32 	 kT = 1.9642 	 vx = -0.007681 	 vy = -0.011079 	 vz = -0.015828
Time = 0.6300 	 PotE = -4102.67 	 kT = 2.0668 	 vx = -0.060736 	 vy = 0.080771 	 vz = -0.052577
Time = 0.6350 	 PotE = -4078.05 	 kT = 1.9756 	 vx = -0.005623 	 vy = 0.041222 	 vz = -0.019054
Time = 0.6400 	 PotE = -4066.93 	 kT = 1.9849 	 vx = 0.025041 	 vy = 0.063607 	 vz = -0.075727
Time = 0.6450 	 PotE = -4071.56 	 kT = 2.0482 	 vx = 0.027469 	 vy = 0.026893 	 vz = -0.041256
Time = 0.6500 	 PotE = -4085.94 	 kT = 1.9928 	 vx = -0.001606 	 vy = 0.044019 	 vz = 0.100144
Time = 0.6550 	 PotE = -4106.91 	 kT = 1.9900 	 vx = 0.020062 	 vy = -0.014482 	 vz = 0.055738
Time = 0.6600 	 PotE = -4124.44 	 kT = 1.9251 	 vx = -0.017664 	 vy = -0.069715 	 vz = 0.009937
Time = 0.6650 	 PotE = -4141.87 	 kT = 1.9593 	 vx = 0.084673 	 vy = -0.016211 	 vz = 0.005633
Time = 0.6700 	 PotE = -4154.66 	 kT = 2.0140 	 vx = -0.009107 	 vy = -0.055967 	 vz = 0.009371
Time = 0.6750 	 PotE = -4167.32 	 kT = 2.0690 	 vx = -0.045669 	 vy = -0.037216 	 vz = 0.057332
Time = 0.6800 	 PotE = -4163.40 	 kT = 2.0188 	 vx = -0.008194 	 vy = -0.021965 	 vz = 0.051785
Time = 0.6850 	 PotE = -4151.34 	 kT = 2.0031 	 vx = -0.002988 	 vy = -0.047150 	 vz = 0.033246
Time = 0.6900 	 PotE = -4149.32 	 kT = 2.0612 	 vx = 0.055327 	 vy = -0.023879 	 vz = 0.051547
Time = 0.6950 	 PotE = -4134.91 	 kT = 2.0188 	 vx = 0.035148 	 vy = -0.034966 	 vz = 0.057588
Time = 0.7000 	 PotE = -4119.37 	 kT = 1.9649 	 vx = -0.021539 	 vy = -0.025026 	 vz = 0.015241
Time = 0.7050 	 PotE = -4092.62 	 kT = 1.9154 	 vx = -0.038498 	 vy = -0.116700 	 vz = -0.011421
Time = 0.7100 	 PotE = -4093.56 	 kT = 1.9855 	 vx = -0.033629 	 vy = -0.045153 	 vz = -0.049773
Time = 0.7150 	 PotE = -4090.78 	 kT = 2.0071 	 vx = 0.022746 	 vy = -0.071451 	 vz = 0.056865
Time = 0.7200 	 PotE = -4101.90 	 kT = 2.0406 	 vx = 0.013242 	 vy = -0.066778 	 vz = -0.010913
Time = 0.7250 	 PotE = -4112.57 	 kT = 2.0691 	 vx = 0.018934 	 vy = -0.011793 	 vz = -0.013682
Time = 0.7300 	 PotE = -4117.31 	 kT = 2.1090 	 vx = 0.037346 	 vy = -0.036319 	 vz = 0.054356
Time = 0.7350 	 PotE = -4119.41 	 kT = 2.0814 	 vx = 0.004186 	 vy = -0.013291 	 vz = 0.043886
Time = 0.7400 	 PotE = -4121.94 	 kT = 2.0879 	 vx = -0.018538 	 vy = 0.059593 	 vz = -0.018896
Time = 0.7450 	 PotE = -4116.63 	 kT = 2.0874 	 vx = 0.011276 	 vy = 0.012908 	 vz = -0.040033
Time = 0.7500 	 PotE = -4101.41 	 kT = 1.9860 	 vx = -0.004292 	 vy = 0.067879 	 vz = 0.068553
Time = 0.7550 	 PotE = -4103.82 	 kT = 2.0395 	 vx = 0.065230 	 vy = 0.094669 	 vz = 0.032111
Time = 0.7600 	 PotE = -4100.48 	 kT = 1.9845 	 vx = 0.004218 	 vy = -0.009593 	 vz = 0.061968
Time = 0.7650 	 PotE = -4103.35 	 kT = 2.0590 	 vx = 0.021647 	 vy = -0.067376 	 vz = 0.057700
Time = 0.7700 	 PotE = -4112.99 	 kT = 1.9925 	 vx = 0.037504 	 vy = -0.120842 	 vz = 0.060721
Time = 0.7750 	 PotE = -4090.95 	 kT = 1.9646 	 vx = 0.042087 	 vy = -0.098432 	 vz = 0.004757
Time = 0.7800 	 PotE = -4081.25 	 kT = 1.9327 	 vx = -0.050020 	 vy = -0.022988 	 vz = -0.024940
Time = 0.7850 	 PotE = -4083.67 	 kT = 1.8620 	 vx = -0.081150 	 vy = -0.018376 	 vz = 0.026676
Time = 0.7900 	 PotE = -4088.10 	 kT = 1.9169 	 vx = -0.007533 	 vy = 0.009412 	 vz = 0.062944
Time = 0.7950 	 PotE = -4109.23 	 kT = 1.9421 	 vx = -0.079591 	 vy = -0.042821 	 vz = 0.006091
